Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,state_code,Prof_Cat
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.62,2,0.7,-7.05,PA,Loss
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.52,PA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.26,2,0.2,1.1,PA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.3,6,0.2,9.71,PA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.86,6,0.7,-5.72,PA,Loss
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.55,PA,Profit
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.47,3,0.2,9.95,TX,Profit
First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.54,7,0.2,123.47,TX,Profit
First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.96,TX,Loss
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.33,9,0.2,35.42,TX,Profit
Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.4,3,0.32,-46.98,TX,Loss
Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.06,3,0.3,-15.15,TX,Loss
Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.17,4,0.2,41.76,TX,Profit
Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.17,4,0.2,16.56,IL,Profit
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0.0,3.89,CA,Profit
Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.62,2,0.2,9.56,FL,Profit
First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0.0,19.77,MN,Profit
First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0.0,8.21,MN,Profit
Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0.0,8.48,MI,Profit
Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45.0,3,0.0,4.95,DE,Profit
Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,0.0,6.1,DE,Profit
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0.0,17.96,IN,Profit
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0.0,35.33,IN,Profit
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0.0,2.96,IN,Profit
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0.0,17.1,IN,Profit
Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0.0,6.26,NY,Profit
Standard Class,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,0.0,298.69,NY,Profit
First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,0.0,52.14,NY,Profit
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,0.0,15.55,NY,Profit
First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.1,NY,Profit
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,0.0,6.99,NY,Profit
First Class,Consumer,Troy,New York,East,Technology,Accessories,30.0,2,0.0,3.3,NY,Profit
First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.36,NY,Profit
First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0.0,0.84,NY,Profit
Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0.0,6.15,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.82,6,0.2,9.36,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0.0,68.96,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0.0,22.33,CA,Profit
Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.12,5,0.3,-15.22,IL,Loss
Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.02,8,0.2,111.3,AZ,Profit
Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.97,4,0.2,62.99,AZ,Profit
First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0.0,35.66,VA,Profit
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.62,1,0.2,1.73,NY,Profit
Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0.0,8.76,MI,Profit
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.94,8,0.2,-114.39,TN,Loss
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.21,TN,Profit
Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.78,1,0.2,-18.2,TN,Loss
First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.25,3,0.8,-1.93,TX,Loss
First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.71,3,0.6,-5.82,TX,Loss
First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.72,TX,Profit
Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.48,TX,Loss
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0.0,56.2,AL,Profit
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0.0,8.04,AL,Profit
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,0.0,4.17,CA,Profit
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,0.0,6.2,CA,Profit
Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.98,7,0.2,62.81,NC,Profit
First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.38,3,0.2,-48.95,IL,Loss
Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0.0,33.22,SC,Profit
Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0.0,6.8,MN,Profit
Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0.0,2.96,MN,Profit
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.37,7,0.2,13.86,TX,Profit
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,0.0,6.63,CA,Profit
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.58,2,0.2,8.28,CA,Profit
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0.0,3.11,CA,Profit
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0.0,6.22,MN,Profit
Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0.0,16.54,MN,Profit
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0.0,16.15,MN,Profit
Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.68,1,0.7,-3.79,OR,Loss
Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,0.0,40.54,NY,Profit
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.31,3,0.2,17.96,CA,Profit
Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0.0,22.59,MN,Profit
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.62,7,0.2,22.62,IL,Profit
Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.98,3,0.2,-10.8,IL,Loss
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.79,3,0.8,-3.04,IL,Loss
Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0.0,11.72,MN,Profit
Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,238.9,6,0.2,-26.88,CO,Loss
Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.84,CO,Loss
Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.88,3,0.7,-25.82,CO,Loss
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.11,8,0.2,17.6,NC,Profit
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.99,1,0.2,2.1,NC,Profit
Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.3,1,0.2,1.07,NC,Profit
Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.99,IL,Profit
Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,0.0,10.91,NY,Profit
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0.0,22.79,IA,Profit
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0.0,13.35,IA,Profit
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.1,14,0.2,14.53,OH,Profit
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.65,OH,Profit
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.98,3,0.2,7.49,OH,Profit
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.46,6,0.2,44.03,OH,Profit
Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,0.0,165.38,WA,Profit
Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.79,1,0.7,-115.72,TN,Loss
First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0.0,18.35,DE,Profit
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0.0,13.88,DE,Profit
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0.0,63.44,DE,Profit
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0.0,51.76,DE,Profit
First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,0.0,19.73,DE,Profit
Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,600.56,3,0.3,-8.58,TX,Loss
Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.68,IL,Loss
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.39,2,0.7,-1.83,AZ,Loss
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.99,7,0.2,30.5,AZ,Profit
Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.42,2,0.2,-9.16,CA,Loss
Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0.0,26.24,CA,Profit
First Class,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.99,OH,Loss
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.3,2,0.2,29.36,OH,Profit
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.46,9,0.2,6.97,OH,Profit
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,0.0,9.62,CA,Profit
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,0.0,16.66,CA,Profit
Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,0.0,3.46,CA,Profit
Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0.0,1.97,CA,Profit
Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.18,3,0.2,26.66,CA,Profit
Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,0.0,18.45,CA,Profit
Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,0.0,20.7,CA,Profit
Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35,PA,Profit
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.38,CA,Profit
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0.0,5.1,CA,Profit
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,0.0,68.98,CA,Profit
Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0.0,218.25,MO,Profit
Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,0.0,20.16,CA,Profit
Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.89,4,0.2,12.91,OH,Profit
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0.0,103.8,WI,Profit
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0.0,6.0,WI,Profit
Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0.0,585.55,WI,Profit
Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0.0,80.63,WI,Profit
First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.77,AZ,Profit
First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.18,2,0.2,15.24,AZ,Profit
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,0.0,26.27,CA,Profit
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,0.0,48.54,CA,Profit
First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,0.0,21.03,CA,Profit
Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,0.0,1.79,WA,Profit
Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.57,2,0.2,51.48,WA,Profit
Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0.0,6.87,OK,Profit
Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0.0,236.23,OK,Profit
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0.0,2.69,CA,Profit
Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.38,2,0.2,1.36,PA,Profit
Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0.0,13.35,NM,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.69,WA,Profit
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.94,3,0.2,2.73,TX,Profit
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.95,8,0.4,-1359.99,TX,Loss
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.93,3,0.2,-58.63,TX,Loss
Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.86,TX,Loss
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.06,6,0.2,6.81,TX,Profit
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.85,TX,Loss
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.98,3,0.2,9.0,TX,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,0.0,9.84,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2,0.0,53.26,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.14,7,0.2,21.26,CA,Profit
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.45,2,0.8,-131.12,IL,Loss
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.55,IL,Profit
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.26,4,0.8,-243.16,TX,Loss
Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,396.8,7,0.3,-11.34,OH,Loss
Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,5,0.2,-3.77,OH,Loss
Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,3.28,1,0.0,1.41,NY,Profit
Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.82,2,0.2,1.86,IL,Profit
Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.74,7,0.2,76.64,IL,Profit
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,0.0,131.03,LA,Profit
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,0.0,41.99,LA,Profit
Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29.0,2,0.0,7.25,LA,Profit
Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,0.0,3.44,CT,Profit
Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,0.0,22.98,CA,Profit
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.22,3,0.2,3.72,TX,Profit
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.02,3,0.2,6.26,TX,Profit
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,899.14,4,0.2,112.39,NY,Profit
First Class,Home Office,New York City,New York,East,Technology,Phones,71.76,6,0.0,20.09,NY,Profit
First Class,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,8,0.0,24.88,NY,Profit
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,626.35,3,0.2,46.98,NY,Profit
First Class,Home Office,New York City,New York,East,Office Supplies,Art,19.9,5,0.0,6.57,NY,Profit
Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,0.0,6.71,CA,Profit
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.41,2,0.2,1.2,OH,Profit
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.05,3,0.2,1.59,OH,Profit
Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,3,0.0,12.03,NJ,Profit
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.95,2,0.7,-2.26,PA,Loss
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.06,3,0.2,5.82,PA,Profit
Standard Class,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.74,3,0.2,6.8,OH,Profit
First Class,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.88,CO,Loss
First Class,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,1,0.2,0.29,CO,Profit
Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.28,2,0.8,-178.97,TX,Loss
Standard Class,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.17,7,0.2,9.67,TN,Profit
Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.77,4,0.2,44.48,CA,Profit
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,4,0.0,5.87,MI,Profit
Standard Class,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,2,0.0,35.63,MI,Profit
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,4,0.0,7.48,MI,Profit
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,9,0.0,16.21,MI,Profit
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,1,0.0,3.68,MI,Profit
Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2,0.2,6.5,TX,Profit
Standard Class,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,2,0.2,8.88,OH,Profit
Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,5,0.5,-244.32,OH,Loss
Standard Class,Corporate,Medina,Ohio,East,Technology,Phones,62.98,3,0.4,-14.7,OH,Loss
Standard Class,Corporate,Medina,Ohio,East,Technology,Machines,1188.0,9,0.7,-950.4,OH,Loss
Standard Class,Corporate,Medina,Ohio,East,Technology,Accessories,89.58,2,0.2,4.48,OH,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,6,0.0,26.06,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.38,3,0.2,22.68,CA,Profit
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.58,2,0.2,1.81,OH,Profit
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.7,6,0.2,8.23,OH,Profit
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.78,4,0.7,-13.84,OH,Loss
First Class,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.7,4,0.2,19.08,OH,Profit
First Class,Consumer,Dublin,Ohio,East,Technology,Machines,479.99,4,0.7,-383.99,OH,Loss
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.17,2,0.2,2.72,OH,Profit
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,1,0.0,0.97,MI,Profit
Standard Class,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,5,0.0,136.94,MI,Profit
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,1,0.0,0.22,MI,Profit
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.57,2,0.2,-28.27,TN,Loss
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.7,8,0.2,43.84,TN,Profit
Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.65,7,0.7,-12.43,NC,Loss
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,2,0.45,-102.05,FL,Loss
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,620.61,3,0.45,-248.25,FL,Loss
Standard Class,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.33,2,0.7,-3.55,FL,Loss
Standard Class,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.07,3,0.2,0.0,FL,Profit
Standard Class,Home Office,Tampa,Florida,South,Technology,Accessories,617.98,3,0.2,-7.72,FL,Loss
Standard Class,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,2,0.0,4.75,CA,Profit
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,5,0.2,9.4,IL,Profit
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,5,0.6,-356.73,IL,Loss
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.69,3,0.6,-4.68,IL,Loss
Second Class,Consumer,Chicago,Illinois,Central,Technology,Phones,31.98,2,0.2,11.19,IL,Profit
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.22,5,0.5,-120.51,IL,Loss
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.04,3,0.6,-2.83,IL,Loss
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Art,7.41,2,0.2,1.2,IL,Profit
Second Class,Home Office,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,0.0,580.54,MN,Profit
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,2,0.0,41.68,MN,Profit
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,47.88,6,0.0,23.94,MN,Profit
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Appliances,1503.25,5,0.0,496.07,MN,Profit
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,25.92,4,0.0,12.44,MN,Profit
Second Class,Consumer,San Francisco,California,West,Furniture,Chairs,321.57,2,0.2,28.14,CA,Profit
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,7.61,1,0.0,3.58,CA,Profit
Standard Class,Consumer,San Diego,California,West,Technology,Accessories,3347.37,13,0.0,636.0,CA,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Storage,80.58,6,0.0,22.56,NY,Profit
First Class,Consumer,New York City,New York,East,Office Supplies,Envelopes,361.92,4,0.0,162.86,NY,Profit
Standard Class,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.13,9,0.6,-8.49,IL,Loss
